Provinsi, Indeks Pembangunan Manusia
ACEH,71.9
SUMATERA UTARA,71.74
SUMATERA BARAT,72.39
RIAU,73
JAMBI,71.26
SUMATERA SELATAN,70.02
BENGKULU,71.21
LAMPUNG,69.57
BANGKA BELITUNG,71.3
KEPULAUAN RIAU,75.48
DKI JAKARTA,80.76
JAWA BARAT,72.03
JAWA TENGAH,71.73
DI YOGYAKARTA,79.99
JAWA TIMUR,71.5
BANTEN,72.44
BALI,75.38
NUSA TENGGARA BARAT,68.14
NUSA TENGGARA TIMUR,65.23
KALIMANTAN BARAT,67.65
KALIMANTAN TENGAH,70.91
KALIMANTAN SELATAN,70.72
KALIMANTAN TIMUR,76.61
KALIMANTAN UTARA,71.15
SULAWESI UTARA,72.99
SULAWESI TENGAH,69.5
SULAWESI SELATAN,71.66
SULAWESI TENGGARA,71.2
GORONTALO,68.49
SULAWESI BARAT,65.73
MALUKU,69.45
MALUKU UTARA,68.7
PAPUA BARAT,64.7
PAPUA,60.84
